FAO_code,Latin species name,English,Spanish,French
AAA,Acipenser naccarii,Adriatic sturgeon,Esturión del Adriático,Esturgeon de l'Adriatique
AAB,Acanthopagrus bifasciatus,Twobar seabream,Sargo de dos bandas,Pagre double bande
AAC,Amia calva,Bowfin,,
AAD,Acipenser dabryanus,Yangtze sturgeon,,
AAE,Antennarius analis,Tailjet frogfish,,
AAF,Acipenser fulvescens,Lake sturgeon,,
AAG,Anguilla bengalensis,Indian mottled eel,,
AAH,Acipenser schrenckii,Amur sturgeon,,
AAI,Acipenser sinensis,Chinese sturgeon,,
AAJ,Anguilla mossambica,African longfin eel,,
AAK,Acipenser mikadoi,Sakhalin sturgeon,,
AAL,Anguilla marmorata,Giant mottled eel,,
AAM,Acipenser medirostris,Green sturgeon,Esturión verde,Esturgeon vert
AAN,Acipenser nudiventris,Fringebarbel sturgeon,Esturión barba de flecos,Esturgeon barbillons frangés
AAO,Acipenser oxyrinchus,Atlantic sturgeon,,
AAP,Acipenser persicus,Persian sturgeon,,
AAQ,Anguilla dieffenbachii,New Zealand longfin eel,,
AAR,Anguilla reinhardtii,Speckled longfin eel,,
AAS,Astacus astacus,Noble crayfish,Cangrejo de río de patas rojas,Écrevisse à pieds rouges
AAT,Anguilla bicolor,,,
AAU,Acipenser multiscutatus,Japanese sturgeon,,
AAV,Acaronia vultuosa,,,
AAW,Anableps anableps,Largescale foureyes,,
AAX,Aaptosyax grypus,,,
AAY,Acipenser brevirostrum,Shortnose sturgeon,,
AAZ,Aploactis aspera,,,
ABA,Albulichthys albuloides,,,
ABB,Abbottina rivularis,Chinese false gudgeon,,
ABC,Amblypharyngodon microlepis,,,
ABD,Alburnus albidus,,,
ABE,Aborichthys elongatus,,,
ABF,Haliotis rufescens,Red abalone,Abulón colorado,Ormeau rouge
ABG,Haliotis gigantea,Giant abalone,Abulón gigante,Ormeau géant
ABH,Astroblepus chotae,,,
ABI,Alburnoides bipunctatus,Schneider,,
ABJ,Haliotis discus,Japanese abalone,Abulón japonés,Ormeau japonais
ABK,Blicca bjoerkna,White bream,,
ABL,Amblypharyngodon melettinus,Attentive carplet,,
ABM,Haliotis diversicolor,Small abalone,,
ABN,Acanthobunocephalus nicoi,,,
ABO,Amblypharyngodon mola,,,
ABP,Haliotis midae,Perlemoen abalone,Oreja de mar,Ormeau de Mida
ABQ,Abramites eques,,,
ABR,Haliotis rubra,Blacklip abalone,Oreja de mar de labios negros,Ormeau à lèvres noires
ABS,Penaeus aztecus,Northern brown shrimp,Camarón café norteño,Crevette royale grise
ABT,Amblyrhynchichthys truncatus,,,
ABU,Abudefduf saxatilis,Sergeant-major,,
ABV,Alabes parvulus,Pygmy shore-eel,,
ABW,Ablabys binotatus,Redskinfish,,
ABX,Haliotis spp,Abalones nei,Orejas de mar nep,Ormeaux nca
ABY,Amblyopsis rosae,Ozark cavefish,,
ABZ,Ammodytes tobianus,Small sandeel,Aguacioso,Équille
ACA,Acromycter nezumi,,,
ACB,Scapharca broughtonii,Inflated ark,,
ACC,Gymnocephalus cernuus,Ruffe,Acerina,Grémille
ACD,Chlopsis dentatus,Mottled false moray,,
ACE,Paruroconger drachi,,,
ACF,Acestrorhynchus falcatus,,,
ACG,Acanthogobius ommaturus,,,
ACH,Salvelinus alpinus,Arctic char,Trucha alpina,Omble-chevalier
ACI,Acnodon normani,,,
ACJ,Japonoconger africanus,,,
ACK,Kaupichthys hyoproroides,False moray,,
ACL,Heteroconger longissimus,,,
ACM,Macrocephenchelys brachialis,,,
ACN,Aculeola nigra,Hooktooth dogfish,Tollo negro de cachos,Squale noir
ACO,Coloconger raniceps,,,
ACP,Chilorhinus platyrhynchus,Flatnose xenocongrid eel,,
ACQ,Astrocottus leprops,,,
ACR,Acropomatidae,"Glow-bellies, splitfins nei",Farolitos nep,"Macondes, etc. nca"
ACS,Heteroconger hassi,Spotted garden-eel,,
ACT,Paraconger caudilimbatus,Margintail conger,,
ACU,Lumiconger arafura,,,
ACV,Acanthocepola abbreviata,Bandfish,,
ACW,Amblycirrhitus earnshawi,,,
ACX,Acanthaxius caespitosa,Deep-water mud lobster,Langosta peluda de profundidad,Langouste poilue de profondeur
ACY,Parabathymyrus macrophthalmus,,,
ACZ,Cambaridae,American crayfishes nei,Cangrejos río americanos nep,Écrevisses américaines nca
ADA,Aspidoras albater,,,
ADB,Adontosternarchus balaenops,,,
ADC,Acrochordonichthys chamaeleon,,,
ADD,Derichthys serpentinus,Narrownecked oceanic eel,,
ADE,Allotoca dugesii,Opal allotoca,,
ADF,Aspredinichthys filamentosus,Sevenbarbed banjo,,
ADG,Anadoras grypus,,,
ADH,Amblyglyphidodon aureus,Golden damselfish,,
ADI,Aplocheilus dayi,Ceylon killifish,,
ADJ,Pardachirus pavoninus,Peacock sole,,
ADK,Artedidraco skottsbergi,,,
ADL,Antipodocottus elegans,,,
ADM,Autanadoras milesi,,,
ADN,Nessorhamphus ingolfianus,Duckbill oceanic eel,,
ADO,Artediellus dydymovi,,,
ADP,Austrofundulus dolichopterus,Saberfin killie,,
ADQ,Antipathes dichotoma,Black coral,,
ADR,Aspredo aspredo,Banjo,,
ADS,Arnoldichthys spilopterus,Niger tetra,,
ADT,Pardachirus marmoratus,Finless sole,,
ADU,Allodontichthys hubbsi,Whitepatched splitfin,,
ADV,Apuredoras rivasi,,,
ADW,Artedius corallinus,Coralline sculpin,,
ADX,Adinia xenica,Diamond killifish,,
ADY,Aspredo cotylephorus,Banded banjo,,
ADZ,Artedidraco glareobarbatus,,,
AEA,Alestes lateralis,Stripped robber,,
AEB,Alestes baremoze,,,
AEC,Astronesthes cyclophotus,,,
AED,Alestes dentex,,,
AEE,Einara edentula,Toothless smooth-head,,
AEF,Apteronotus albifrons,Black ghost,,
AEG,Astronesthes gemmifer,,,
AEH,Alestopetersius brichardi,,,
AEI,Auchenipterus nigripinnis,,,
AEJ,Astronesthes indicus,,,
AEK,Herwigia kreffti,Krefft's smooth-head,,
AEL,Leptoderma lubricum,,,
AEM,Aethotaxis mitopteryx,Longfin icedevil,Diablillo de hebra,Calandre fil
AEN,Ericara niger,,,
AEO,Astronesthes leucopogon,,,
AEP,Astronesthes neopogon,,,
AER,Aequidens rivulatus,Green terror,Vieja azul,
AES,Pandalus montagui,Aesop shrimp,Camarón esópico,Crevette ésope
AET,Aetapcus maculatus,Warty prowfish,,
AEU,Auchenoceros punctatus,Ahuru,,
AEV,Asemichthys taylori,Spinynose sculpin,,
AEW,Atherinosoma wallacei,,,
AEX,Aethiomastacembelus sexdecimspinus,,,
AEY,Apteronotus leptorhynchus,,,
AEZ,Abyssocottus elochini,,,
AFA,Forbesichthys agassizi,Spring cavefish,,
AFB,Aphyoplatys duboisi,,,
AFC,Atherinopsis californiensis,Jack silverside,,
AFD,Aphanius dispar,,,
AFE,Aplocheilichthys fuelleborni,,,
AFF,Atherion africanus,Pricklenose silverside,,
AFG,Asthenomacrurus fragilis,Fragile grenadier,,
AFH,Aphyosemion ahli,,,
AFI,Conocara fiolenti,Fiolenti's smooth-head,,
AFJ,Aphanius iberus,Spanish toothcarp,,
AFK,Apsilus fuscus,African forktail snapper,Pargo tijera,Vivaneau fourche d'Afrique
AFL,Antennatus flagellatus,,,
AFM,Adamas formosus,Starhead killi,,
AFN,Antennarius nummifer,Spotfin frogfish,,
AFO,Aspidophoroides bartoni,Aleutian alligatorfish,,
AFP,Amphiprion akallopisos,Skunk clownfish,,
AFQ,Paphies australis,Pipi wedge clam,,
AFR,Alloophorus robustus,Bulldog goodeid,,
AFS,Aphanius fasciatus,,,
AFT,Agonus cataphractus,Hooknose,,
AFU,Alfaro cultratus,,,
AFV,Aulorhynchus flavidus,Tube-snout,,
AFW,Assessor flavissimus,Yellow devilfish,,
AFX,Amphibolis antarctica,Sea nymph,,
AFY,Amphiprion akindynos,Barrier reef anemonefish,,
AFZ,Afronandus sheljuzhkoi,Fourspine leaffish,,
AGA,Guentherus altivela,Jellynose,,
AGB,Antipathes grandis,"Umimatsu, pine coral",,
AGC,Amblygaster clupeoides,Bleeker smoothbelly sardinella,Sardinela vientre liso,Sardinelle coulat
AGD,Gymnothorax maderensis,Sharktooth moray,,
AGE,Agosia chrysogaster,Longfin dace,,
AGF,Agmus lyriformis,Gnarled catfish,,
AGG,Gymnothorax moringa,Spotted moray,,
AGH,Gymnotus pantherinus,,,
AGI,Gymnothorax polygonius,,,
AGJ,Argobuccinum olearium,Oil-vessel triton,,Ranelle geante
AGK,Gymnothorax unicolor,Brown moray,Morena negra,Murène brune
AGL,Amblygaster leiogaster,Smoothbelly sardinella,Sardinela daniva,Sardinelle daniva
AGM,Alligator mississippiensis,American alligator,Caimán americano,Alligator américain
AGN,Squatina squatina,Angelshark,Angelote,Ange de mer commun
AGO,Gymnothorax pseudothyrsoideus,Highfin moray,,
AGP,Agrostichthys parkeri,Streamer fish,,
AGQ,Aulostomus strigosus,,,
AGR,Aplodinotus grunniens,Freshwater drum,Roncador de agua dulce,Malachigan
AGS,Amblygaster sirm,Spotted sardinella,Sardinela manchada,Sardinelle tachetée
AGT,Gymnothorax meleagris,Turkey moray,,
AGU,Gymnothorax rueppelliae,Banded moray,,
AGV,Altolamprologus calvus,,,
AGW,Anoplogaster cornuta,Common fangtooth,,
AGX,Gymnothorax mordax,California moray,,
AGY,Gymnothorax porphyreus,,,
AGZ,Argyrocottus zanderi,,,
AHA,Acanthorhodeus asmussii,Russian bitterling,,
AHB,Atopochilus chabanaudi,,,
AHC,Anchovia macrolepidota,Bigscale anchovy,Anchoa plateada,Anchois à grandes écailles
AHD,Abythites lepidogenys,,,
AHE,Archaulus biseriatus,Scaled sculpin,,
AHF,Aphanotorulus frankei,,,
AHG,Psephurus gladius,Chinese swordfish,,
AHH,Atherina hepsetus,Mediterranean sand smelt,,
AHI,Acanthocleithron chapini,,,
AHJ,Amaralia hypsiurus,,,
AHK,Alertichthys blacki,Alert pigfish,,
AHL,Acanthalburnus microlepis,Blackbrow bleak,,
AHM,Huso dauricus,Kaluga,,
AHN,Anthias anthias,Swallowtail seaperch,,
AHO,Alcichthys alcicornis,,,
AHP,Panturichthys isognathus,,,
AHQ,Cantheschenia grandisquamis,Large-scaled leatherjacket,,
AHR,Astronesthes niger,,,
AHS,Acanthobrama lissneri,,,
AHT,Acanthobrama terraesanctae,Kinneret bleak,,
AHU,Anchovia clupeoides,Zabaleta anchovy,Anchoa bocona,Anchois hachude
AHV,Ancharius brevibarbis,,,
AHW,Aristaeomorpha woodmasoni,Indian red shrimp,Gamba roja india,Gambon indien
AHX,Allocyttus spp,,,
AHY,Pythonichthys sanguineus,,,
AHZ,Apolemichthys guezei,Reunion angelfish,,
AIA,Apistus carinatus,Ocellated waspfish,,
AIB,Ambassidae,Glassfishes,,
AIC,Ailia coila,,,
AID,Ijimaia dofleini,,,
AIE,Alticorpus macrocleithrum,,,
AIF,Acanthoclinus fuscus,,,
AIG,Astacopsis gouldi,Giant tasmanian crayfish,,
AIH,Ancistrus cirrhosus,,,
AII,Amphilophus citrinellus,Midas cichlid,,
AIJ,Alticus kirkii,Kirk's blenny,,
AIK,Acarichthys heckelii,Threadfin acara,,
AIL,Acanthochromis polyacanthus,Spiny chromis,,
AIM,Austrophycis marginata,Dwarf codling,,
AIN,Acentrogobius caninus,Tropical sand goby,,
AIO,Acantholiparis opercularis,Spiny snailfish,,
AIP,Albatrossia pectoralis,Giant grenadier,,
AIQ,Astacopsis franklinii,,,
AIR,Anisarchus macrops,,,
AIS,Atrosalarias fuscus,,,
AIT,Apopterygion alta,Tasselled triplefin,,
AIU,Apistops caloundra,Short-armed waspfish,,
AIV,Alloblennius parvus,Dwarf blenny,,
AIW,Acanthina monodon,,,
AIX,Aidablennius sphynx,,,
AIY,Ahliesaurus berryi,,,
AIZ,Haliotis kamtschatkana,Pinto abalone,,
AJA,Aristeus alcocki,Arabian red shrimp,Gamba roja arábiga,Gambon d'Arabie
AJB,Bajacalifornia burragei,,,
AJC,Alaria esculenta,Babberlocks,,Alimentaire varech
AJD,Agonomalus jordani,,,
AJE,Artemia persimilis,,,
AJF,Haliotis spadicea,,,
AJG,Anthoptilum spp,,,
AJH,Anthozoa,,,
AJI,Artemiidae,,,
AJJ,Artemia sinica,,,
AJK,Astrotia stokesii,Stokes' sea snake,,
AJL,Cabillus lacertops,,,
AJM,Artemia spp,Brine shrimps nei,Artemias nep,Crevettes de salines nca
AJN,Aristeus semidentatus,Smooth red shrimp,Gamba roja lisa,Gambon lisse
AJO,Alcithoe larochei,Volute,,
AJP,Aulichthys japonicus,,,
AJQ,Aurelia aurita,Common jellyfish,Agua mala,Méduse commune
AJR,Astrea rugosa,Rough turbo,Peonza rugosa,Turbo scabre
AJS,Abalistes stellaris,Starry triggerfish,Pejepuerco estrellado,Baliste étoilé
AJT,Artemia tunisiana,,,
AJU,Artemia urmiana,,,
AJV,Aeneator recens,,,
AJW,Agonostomus monticola,Mountain mullet,Lisa de río,Mulet de fleuve
AJX,Acutiserolis spp,Spiny serolid isopod,,
AJY,Aega monophthalma,Fish biter,,
AJZ,Alcyonacea,Soft corals,Corales muelles,Corails mous
AKA,Anomalops katoptron,Splitfin flashlightfish,,
AKB,Acanthopagrus butcheri,,,
AKC,Astacus pachypus,,,
AKD,Acentrogobius dayi,Day's goby,,
AKE,Anisochromis kenyae,,,
AKF,Akysis fuscus,,,
AKG,Achoerodus gouldii,Western blue groper,,
AKH,Acropoma hanedai,,,
AKI,Archoplites interruptus,Sacramento perch,,
AKJ,Acanthocardia echinata,European prickly cockle,Carneiro,Bucarde rouge
AKK,Acanthocardia aculeata,Spiny cockle,Marolo,Bucarde aiguillonnée
AKL,Acantholabrus palloni,Scale-rayed wrasse,,
AKM,Acantholumpenus mackayi,Pighead prickleback,,
AKN,Akarotaxis nudiceps,,,
AKO,Bellocia koefoedi,Koefoed's smooth-head,,
AKP,Acantharchus pomotis,Mud sunfish,,
AKQ,Arca navicularis,Indo-Pacific ark,,Arche navicule
AKR,Ambloplites rupestris,Rock bass,,
AKS,Acetes japonicus,Akiami paste shrimp,Camaroncillo akiami,Chevrette akiami
AKT,Anomalochromis thomasi,,,
AKU,Acanthopagrus australis,Surf bream,,
AKV,Askoldia variegata,,,
AKW,Aphrodita aculeata,Sea mouse,,Aphrodite
AKX,Paphies spp,,,
AKY,Adrianichthys kruyti,Duckbilled buntingi,,
AKZ,Aiakas zinorum,,,
ALA,Alectis alexandrinus,Alexandria pompano,Jurel de Alejandría,Cordonnier bossu
ALB,Thunnus alalunga,Albacore,Atún blanco,Germon
ALC,Alepocephalus bairdii,Baird's slickhead,Talismán celindra,Alépocéphale de Baird
ALD,Apletodon dentatus,Small-headed clingfish,,
ALE,Alosa pseudoharengus,Alewife,Pinchagua,Gaspareau
ALF,Beryx spp,Alfonsinos nei,Alfonsinos nep,Béryx nca
ALG,Allenichthys glauerti,Glauert's anglerfish,,
ALH,Alepocephalus spp,Slickheads nei,Talismanes,
ALI,Alepisaurus spp,Lancetfishes nei,,
ALJ,Tragulichthys jaculiferus,Longspine burrfish,,
ALK,Theragra chalcogramma,Alaska pollock(=Walleye poll.),Colín de Alaska,Lieu de l'Alaska
ALL,Allocyttus verrucosus,Warty dory,,
ALM,Aluterus monoceros,Unicorn leatherjacket filefish,,
ALN,Aluterus scriptus,Scribbled leatherjac. filefish,Lija trompa,Bourse écriture
ALO,Alepisaurus brevirostris,Short snouted lancetfish,,
ALP,Pleuronectes quadrituberculat.,Alaska plaice,Solla de Alaska,Plie de l'Alaska
ALQ,Atherinella argentea,Moon silverside,,
ALR,Alburnus alburnus,Bleak,Alburno,Ablette
ALS,Carcharhinus albimarginatus,Silvertip shark,Tiburón de puntas blancas,Requin pointe blanche
ALT,Aluterus spp,Leatherjacket filefishes,,
ALU,Albulidae,Bonefishes nei,Macabíes nep,Albulidés nca
ALV,Alopias vulpinus,Thresher,Zorro,Renard
ALW,Leptenchelys vermiformis,Slender worm-eel,Tieso esbelto,Serpenton mince
ALX,Alepisaurus ferox,Long snouted lancetfish,Lanzón picudo,Lancier longnez
ALY,Letharchus velifer,,,
ALZ,Diomedeidae,Albatrosses nei,Albatros nep,Albatros nca
AMA,Anarchias fuscus,,,
AMB,Seriola dumerili,Greater amberjack,Pez de limón,Sériole couronnée
AMC,Myroconger compressus,Red eel,,
AMD,Echidna catenata,Chain moray,,
AME,Echidna nebulosa,Snowflake moray,,
AMF,Cirrimaxilla formosa,,,
AMG,Gymnothorax flavimarginatus,Yellow-edged moray,,
AMH,Channomuraena vittata,Broadbanded moray,,
AMI,Gymnothorax funebris,Green moray,,
AMJ,Seriola quinqueradiata,Japanese amberjack,Medregal del Japón,Sériole du Japon
AMK,Enchelycore bayeri,Bayer's moray,,
AML,Carcharhinus amblyrhynchos,Grey reef shark,Tiburón de arrecifes,Requin dagsit
AMM,Moringua edwardsi,Spaghetti eel,,
AMN,Neoconger tuberculatus,,,
AMO,Gymnomuraena zebra,Zebra moray,,
AMP,Echidna peli,Pebbletooth moray,,
AMQ,Enchelynassa canina,,,
AMR,Enchelycore pardalis,Leopard moray eel,,
AMS,Artemia salina,Brine shrimp,Artemia,Crevette de salines
AMT,Gymnothorax vicinus,Purplemouth moray,,
AMU,Esox reichertii,Amur pike,Lucio del Pacífico,Brochet du Pacifique
AMV,Gymnothorax dovii,Speckled moray,,
AMW,Gymnothorax ocellatus,,,
AMX,Seriola spp,Amberjacks nei,Medregales nep,Sérioles nca
AMY,Echidna polyzona,Barred moray,,
AMZ,Gymnothorax undulatus,Undulated moray,,
ANA,Engraulis anchoita,Argentine anchovy,Anchoíta,Anchois d'Argentine
ANB,Anchoa mitchilli,Bay anchovy,Anchoa de caleta,Anchois baie
ANC,Engraulis capensis,Southern African anchovy,Anchoa de Africa austral,Anchois de l'Afrique australe
AND,Tylosurus acus,Agujon needlefish,Marao ojón(=Aguja imperial),Aiguille voyeuse
ANE,Engraulis encrasicolus,European anchovy,Boquerón,Anchois
ANF,Lophiidae,Anglerfishes nei,"Rapes, etc. nep","Baudroies, etc. nca"
ANG,Lophius americanus,American angler,Rape americano,Baudroie d'Amérique
ANI,Champsocephalus gunnari,Mackerel icefish,Draco rayado,Poisson des glaces antarctique
ANJ,Aristeus antillensis,Purplehead gamba prawn,Gamba purpurea,Crevette pourprée
ANK,Lophius budegassa,Blackbellied angler,Rape negro,Baudroie rousse
ANL,Labichthys carinatus,,,
ANM,Nemichthys scolopaceus,Slender snipe eel,,
ANN,Diplodus annularis,Annular seabream,Raspallón,Sparaillon commun
ANO,Annamia normani,,,
ANP,Anotopterus pharao,Daggertooth,,Pharaon
ANQ,Atherinomorus balabacensis,Balabac Island silverside,,
ANR,Lycengraulis grossidens,Atlantic sabretooth anchovy,Anchoa dentona,Anchois goulard
ANS,Pleuragramma antarcticum,Antarctic silverfish,Diablillo antártico,Calandre antarctique
ANT,Antimora rostrata,Blue antimora,Mollera azul,Antimora bleu
ANU,Nemichthys curvirostris,,,
ANV,Avocettina infans,Avocet snipe eel,,
ANW,Pomacanthidae,Angelfishes nei,Angeles nep,Demoiselles nca
ANX,Engraulidae,"Anchovies, etc. nei","Anchoas, etc. nep","Anchois, etc. nca"
ANY,Anabarilius polylepis,,,
ANZ,Aulotrachichthys novaezelandicus,,,
AOA,Achirophichthys kampeni,Freshwater snake-eel,,
AOB,Bascanichthys bascanoides,Sooty sand-eel,,
AOC,Aplatophis chauliodus,Fangtooth snake-eel,,
AOD,Dalophis obtusirostris,,,
AOE,Ahlia egmontis,Key worm eel,,
AOF,Herpetoichthys fossatus,Mustachioed snake-eel,,
AOG,Gordiichthys irretitus,Horsehair eel,,
AOH,Hemerorhinus opici,,,
AOI,Cirrhimuraena inhacae,Inhaca fringelip,,
AOJ,Cirricaecula johnsoni,,,
AOK,Apterichtus kendalli,,,
AOL,Caralophia loxochila,Slantlip eel,,
AOM,Echelus myrus,Painted eel,,
AON,Atherinops affinis,Topsmelt silverside,,
AOO,Callechelys catostomus,,,
AOP,Aprognathodon platyventris,Stripe eel,,
AOQ,Lamnostoma polyophthalma,,,
AOR,Ethadophis byrnei,Ordinary eel,,
AOS,Evips percinctus,,,
AOT,Caecula pterygera,Finny snake eel,,
AOU,Echiophis punctifer,Stippled spoon-nose eel,,
AOV,Elapsopis versicolor,,,
AOW,Aeoliscus punctulatus,Speckled shrimpfish,,
AOX,Ichthyapus acuticeps,Sharpnose sand-eel,,
AOY,Brachysomophis crocodilinus,Crocodile snake eel,,
AOZ,Leiuranus semicinctus,Saddled snake-eel,,
APA,Apristurus manis,Ghost catshark,Pejegato fantasma,Holbiche fantôme
APB,Acipenser baerii,Siberian sturgeon,Esturión de Siberia,Esturgeon de Sibérie
APC,Apristurus saldanha,Saldanha catshark,Pejegato saldaña,Holbiche gatussau
APD,Apristurus indicus,Smallbelly catshark,Pejegato índico,Holbiche artouca
APE,Acipenser stellatus,Starry sturgeon,Esturión estrellado,Esturgeon étoilé
APF,Apristurus maderensis,Madeira catshark,Pejegato de Madera,Roussette de Madère
APG,Acipenser gueldenstaedtii,Danube sturgeon(=Osetr),Esturión del Danube,Esturgeon du Danube
APH,Aphanopus intermedius,Intermediate scabbardfish,Sable intermedio,Poisson-sabre tachuo
API,Apristurus spp,Deep-water catsharks,Pejegatos,Holbiches
APJ,Apristurus sibogae,Pale catshark,Pejegato paliducho,Holbiche pâle
APK,Apristurus parvipinnis,Smallfin catshark,Pejegato mocho,Holbiche petites ailes
APL,Plantae aquaticae,Aquatic plants nei,Plantas acuáticas nep,Plantes aquatiques nca
APM,Apristurus macrostomus,,,
APN,Acipenser transmontanus,White sturgeon,Esturión blanco,Esturgeon blanc
APO,Apogonidae,"Cardinalfishes, etc. nei","Peces cardenal, etc. nep",Apogonidés nca
APP,Apristurus profundorum,Deep-water catshark,Pejegato abisal,Holbiche papoila
APQ,Apristurus laurussonii,Iceland catshark,,
APR,Acipenser ruthenus,Sterlet sturgeon,Esterlete,Sterlet
APS,Penaeus duorarum,Northern pink shrimp,Camarón rosado norteño,Crevette rose du Nord
APU,Acipenser sturio,Sturgeon,Esturión,Esturgeon commun
APV,Apristurus investigatoris,Broadnose catshark,Pejegato ñato,Holbiche platnez
APW,Apristurus nasutus,Largenose catshark,Pejegato hocicón,Holbiche cyrano
APX,Apristurus microps,Smalleye catshark,Pejegato puerco,Holbiche porc
APY,Apristurus micropterygeus,,,
APZ,Apristurus platyrhynchus,Spatulasnout catshark,Pejegato espatulado,Holbiche spatule
AQA,Acentronura australe,Southern little pipehorse,,
AQB,Acanthurus bahianus,Ocean surgeon,,
AQC,Asquamiceps caeruleus,,,
AQD,Apeltes quadracus,Fourspine stickleback,,
AQE,Aequorea aequorea,,,
AQF,Mactra californica,Californian mactra,Mactra californiana,Mactre californienne
AQG,Mactra largillierti,Largilliert's mactra,Mactra de Largilliert,Mactre de Largilliert
AQH,Acanthurus chirurgus,Doctorfish,,
AQI,Acanthurus lineatus,Lined surgeonfish,,
AQJ,Mactra nitida,Polished mactra,Mactra pulida,Mactre polie
AQK,Caquetaia kraussii,,,
AQL,Adelosebastes latens,,,
AQM,Amphipoda,Amphipods,,
AQN,Acanthurus nigrofuscus,Brown surgeonfish,,
AQO,Acanthurus coeruleus,Blue tang surgeonfish,,
AQP,Aequidens portalegrensis,,,
AQQ,Acanthurus gahhm,Black surgeonfish,,
AQR,Acanthurus bariene,Black-spot surgeonfish,,
AQS,Mactra rostrata,Rostrate mactra,Mactra puntiaguda,Mactre à rostre
AQT,Acanthurus triostegus,Convict surgeonfish,,
AQU,Aequidens pulchrus,Blue acara,,
AQV,Acanthurus olivaceus,Orangespot surgeonfish,,
AQW,Mactra velata,Concealed surf clam,Mactra velada,Mactre voile
AQX,Aetobatus spp,,,
AQY,Asprocottus abyssalis,,,
AQZ,Antipatharia,Black corals and thorny corals,,
ARA,Aristeus antennatus,Blue and red shrimp,Gamba rosada,Crevette rouge
ARB,Ariosoma balearicum,Bandtooth conger,,
ARC,Acrocheilus alutaceus,Chiselmouth,,
ARD,Arcos decoris,Elegant clingfish,,
ARE,Argentina elongata,,,
ARF,Atheresthes stomias,Arrow-tooth flounder,Halibut del Pacífico,Faux flétan du Pacifique
ARG,Argentina spp,Argentines,Argentinas,Argentines
ARH,Acrossocheilus hexagonolepis,Copper mahseer,,
ARI,Aristeidae,Aristeid shrimps nei,Gambas aristeidos nep,"Gambons,crevet. aristeidés nca"
ARJ,Ascelichthys rhodorus,Rosylip sculpin,,
ARK,Arca spp,Ark clams nei,Arcas nep,Arches nca
ARL,Argonectes longiceps,,,
ARM,Arenicola marina,Lugworm,Capbreton,
ARN,Ariosoma anago,Silvery conger,,
ARO,Argentina kagoshimae,,,
ARP,Arapaima gigas,Arapaima,Paiche,
ARQ,Aphareus rutilans,Rusty jobfish,Pargo bermellón,Vivaneau rouillé
ARR,Aspidoparia morar,,,
ARS,Aristaeomorpha foliacea,Giant red shrimp,Gamba española,Gambon rouge
ART,Artedidraco spp,,,
ARU,Argentina silus,Greater argentine,,Grande argentine
ARV,Aristeus varidens,Striped red shrimp,Gamba listada,Gambon rayé
ARW,Austrolethops wardi,Small-eyed goby,,
ARX,Archolaemus blax,,,
ARY,Argentina sphyraena,Argentine,Pez plata,Petite argentine
ARZ,Apistogramma agassizii,,,
ASA,Arripis trutta,Australian salmon,Salmón de Australia,Saumon australien
ASB,Serrivomer beani,Bean's sawtooth eel,,
ASD,Alosa alosa,Allis shad,Sábalo común,Alose vraie(=Grande alose)
ASE,Apristurus stenseni,Panama ghost catshark,Pejegato panameño,Holbiche nébuleuse
ASF,Stemonidium hypomelas,Black serrivomerid eel,,
ASG,Arius sagor,Sagor catfish,,
ASH,Artemesia longinaris,Argentine stiletto shrimp,Camarón estilete argentino,Crevette stylet d'Argentine
ASI,Apristurus sinensis,South China catshark,Pejegato chino,Holbiche chuhu
ASJ,Aspidoparia jaya,,,
ASK,Squatinidae,"Angelsharks, sand devils nei","Angelotes, peces ángel nep",Anges de mer nca
ASL,Neophoca cinerea,Australian sea lion,Lobo marino de Australia,Lion de mer d'Australie
ASM,Scomberomorus munroi,Australian spotted mackerel,Carite australiano,Thazard australien
ASN,Ascophyllum nodosum,North Atlantic rockweed,,
ASO,Apristurus spongiceps,Spongehead catshark,Pejegato esponjoso,Holbiche tête molle
ASP,Caspialosa spp,Caspian shads,Sábalos del Mar Caspio,Aloses de la mer Caspienne
ASQ,Simenchelys parasiticus,Snubnosed eel,,
ASR,Asparagopsis spp,Harpoon seaweeds,Algas espárrago,Algues harpon
AST,Astronotus spp,Velvety cichlids,Acarahuazu,
ASU,Aspius aspius,Asp,Aspio,Aspe
ASV,Asymbolus vincenti,Gulf catshark,Pejegato de Tasmania,Chien tasmanien
ASW,Apristurus verweyi,Borneo catshark,Pejegato de Borneo,Holbiche malaise
ASX,Apsilus dentatus,Black snapper,Pargo mulato,Vivaneau noir
ASY,Asymbolus analis,Australian spotted catshark,Pejegato de lunares,Chien tacheté
ASZ,Assurger anzac,Razorback scabbardfish,Sable aserrado,Poisson-sabre rasoir
ATA,Acapoeta tanganicae,,,
ATB,Atherina boyeri,Big-scale sand smelt,Pejerrey mediterráneo,Joël
ATC,Catostomus catostomus,Longnose sucker,,
ATD,Anodontiglanis dahli,,,
ATE,Catostomus tahoensis,Tahoe sucker,,
ATF,Astrodoras asterifrons,,,
ATG,Arctogadus glacialis,Artic cod,,
ATI,Ateleopus indicus,,,
ATJ,Chasmistes cujus,Cui-ui,,
ATK,Pleurogrammus azonus,Okhotsk atka mackerel,Lorcha de Okhotsk,Terpuga arabesque de Okhotsk
ATL,Acheilognathus limbatus,Oily bitterling,,
ATM,Atelomycterus macleayi,Australian marbled catshark,Pejegato jaspeado,Chien marbré
ATN,Acheilognathus melanogaster,,,
